site_name,year,z_p95_q,zlog_p95_q,z_mean_q,zlog_mean_q,z_flood_dur,zlog_flood_dur,av_type,site_area,avulsion_start_date
MALAWI1.2014,2001.0,1.0132090194145447,1.1011533162922584,0.6932271527407061,0.8314991670161158,1.6859908848931089,0.9549210653158867,fan,Africa,2014
MALAWI1.2014,2002.0,-0.03592022992286264,0.1408652520828978,-0.2944595522501007,-0.20573702442048528,-0.06064715413284568,0.34472048056718957,fan,Africa,2014
MALAWI1.2014,2003.0,0.6261090682884826,0.7840462130239638,0.6192250487755163,0.762825488005682,1.566901927686794,0.9259029790410462,fan,Africa,2014
MALAWI1.2014,2004.0,-1.0710590303362253,-1.3100696734638306,-0.8399081990970628,-0.927976231203962,-1.4103220024710834,-2.3201560986305307,fan,Africa,2014
MALAWI1.2014,2005.0,-0.7964076787213424,-0.8458920130833434,-0.9292429168627165,-1.0604535019923336,-1.2118404071272249,-0.9771602055360847,fan,Africa,2014
MALAWI1.2014,2006.0,0.15438693623601568,0.34143150717667736,0.26468329305843397,0.4155229524516448,-0.06064715413284568,0.34472048056718957,fan,Africa,2014
MALAWI1.2014,2007.0,1.5024733386732085,1.456371990489026,0.7385866583465674,0.8729905696339724,1.4081166514117072,0.885377418906408,fan,Africa,2014
MALAWI1.2014,2008.0,1.5496022134826075,1.48831476924872,0.6922864765957187,0.8306339222269945,1.2096350560678486,0.8314303818915713,fan,Africa,2014
MALAWI1.2014,2009.0,-0.21029125558547754,-0.056502955883282364,0.0543727369691247,0.19352938098651107,1.0905460988615336,0.7970942894577494,fan,Africa,2014
MALAWI1.2014,2010.0,0.9686125332195729,1.0664060750488993,0.3740480513857174,0.5260596662106591,0.2966197174860996,0.5162464566925598,fan,Africa,2014
MALAWI1.2014,2011.0,-0.7183947118733505,-0.7270088560092867,-0.5086323936966736,-0.4732910715356135,-1.09275144992091,-0.673247775137732,fan,Africa,2014
MALAWI1.2014,2012.0,-0.3880595205011715,-0.27322033445042093,-0.08819487477013532,0.03535602458210617,0.05844180307346941,0.4063612476929994,fan,Africa,2014
MALAWI1.2014,2013.0,0.4148007669811741,0.5944093639525616,0.2481736619134465,0.39855510389837323,1.0508497797927618,0.7852902615765361,fan,Africa,2014
MALAWI1.2014,2014.0,1.1051197832069541,1.1714276437086568,0.6379373713327953,0.7803073783335901,0.6141902700362731,0.641460221977664,fan,Africa,2014
MALAWI1.2014,2015.0,-1.0938205333318587,-1.352243522918173,-1.013129927485354,-1.189177600125302,-1.2515367261959967,-1.113817556147079,fan,Africa,2014
MALAWI1.2014,2016.0,-0.9259814722331203,-1.0552902749291753,-1.1205578981545075,-1.3606221834529904,-1.1721440880584533,-0.8616180619162623,fan,Africa,2014
MALAWI1.2014,2017.0,-0.47638774108124177,-0.3875086116091054,-0.6248609078385093,-0.6267324509270706,-0.17973611133916076,0.2775525581097029,fan,Africa,2014
MALAWI1.2014,2018.0,-0.6314253869945119,-0.6001922117267404,-0.611240802951776,-0.6084296187742041,-0.6957882592331929,-0.11318048365504739,fan,Africa,2014
MALAWI1.2014,2019.0,-0.6684861788462897,-0.6535296307564792,3.398667171857717,2.7477603347634854,-1.4103220024710834,-2.3201560986305307,fan,Africa,2014
