site_name,site_area,avulsion_start_date,site_lat,site_lon,av_type,reach_ID,y_pred,date,year,month
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,113.24884,2004-05-08,2004.0,5.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,86.95367,2004-05-24,2004.0,5.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,296.90085,2005-02-20,2005.0,2.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,218.18864,2005-04-09,2005.0,4.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,128.87486,2005-05-11,2005.0,5.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,287.18362,2005-08-31,2005.0,8.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,131.13092,2005-10-02,2005.0,10.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,197.57762,2006-04-28,2006.0,4.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,46.986553,2006-05-14,2006.0,5.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,66.30051,2006-05-30,2006.0,5.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,71.94725,2006-07-01,2006.0,7.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,107.95985,2006-08-02,2006.0,8.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,105.714806,2006-09-03,2006.0,9.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,83.68316,2006-09-19,2006.0,9.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,258.80316,2007-03-30,2007.0,3.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,116.314735,2007-04-15,2007.0,4.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,100.21262,2007-05-01,2007.0,5.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,89.84067,2007-05-17,2007.0,5.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,298.83926,2007-10-24,2007.0,10.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,218.21823,2007-11-09,2007.0,11.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,69.71111,2008-02-13,2008.0,2.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,108.896645,2008-05-19,2008.0,5.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,61.006226,2008-07-06,2008.0,7.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,98.76681,2008-12-29,2008.0,12.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,94.028046,2009-01-14,2009.0,1.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,60.09565,2009-04-20,2009.0,4.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,89.401535,2009-05-22,2009.0,5.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,916.91113,2009-10-29,2009.0,10.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,240.19197,2009-11-14,2009.0,11.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,531.5758,2009-11-30,2009.0,11.0
