site_name,avulsion_year,av_type,site_area,year,z_p95_q,zlog_p95_q,z_mean_q,zlog_mean_q,z_flood_dur,zlog_flood_dur
TURK.002.1991,1991,delta,Central Asia,1993.0,0.02727132734439172,0.16502726836664877,-0.3929935998826468,-0.290908771282944,0.018572046651743616,0.326736681163236
TURK.002.1991,1991,delta,Central Asia,1994.0,-1.3976071375165258,-1.5867928743364885,-1.1078413858884872,-1.2761151256526893,-1.3557594055772835,-2.4225581179035913
TURK.002.1991,1991,delta,Central Asia,1995.0,-0.06364987703947814,0.0764705412728728,0.016978991948894198,0.16586581475551282,0.261101126456866,0.4911952069463945
TURK.002.1991,1991,delta,Central Asia,1996.0,-0.19077658022409563,-0.05133711508753529,-0.15155682989823757,-0.0144267913727308,0.18025809985515856,0.43907433991246303
TURK.002.1991,1991,delta,Central Asia,1997.0,1.510416197831592,1.3563982021666476,0.6923547272986507,0.8042545534932639,0.261101126456866,0.4911952069463945
TURK.002.1991,1991,delta,Central Asia,1998.0,0.2403132554275049,0.3639422279926491,0.40468424489668575,0.5470709741696268,0.261101126456866,0.4911952069463945
TURK.002.1991,1991,delta,Central Asia,1999.0,0.5860700226613929,0.6639456035192501,-0.2570143930527776,-0.13239176300200367,0.09941507325345109,0.3843463689709909
TURK.002.1991,1991,delta,Central Asia,2000.0,1.0403267953961668,1.0218019134784355,0.2677614340948744,0.41734791677289845,0.5440517195628422,0.6562454231184467
TURK.002.1991,1991,delta,Central Asia,2001.0,-0.2218596831446104,-0.08332926830167019,-0.8544435398002108,-0.8928338354523058,-0.5473291395602087,-0.19353437354356437
TURK.002.1991,1991,delta,Central Asia,2002.0,1.0766487105917726,1.0488579983477349,0.4397764373294241,0.5795236655628676,0.42278717966028095,0.5885332291843876
TURK.002.1991,1991,delta,Central Asia,2003.0,0.6781553909938383,0.7395867636381404,0.14525530344613585,0.2968598968041245,0.38236566635942726,0.5649983146431857
TURK.002.1991,1991,delta,Central Asia,2004.0,0.7533603820719165,0.8001410952051419,-0.08957927376016828,0.05300904651618474,0.2206796131560123,0.4654450460058175
TURK.002.1991,1991,delta,Central Asia,2005.0,0.3555655608431294,0.46690380216921146,0.09994342911938264,0.25117164967754024,0.05899355995259735,0.355920579930766
TURK.002.1991,1991,delta,Central Asia,2006.0,0.4725640376751249,0.5683396156770034,-0.28800393864429347,-0.16786251215755055,0.18025809985515856,0.43907433991246303
TURK.002.1991,1991,delta,Central Asia,2007.0,-1.5719988597601262,-1.8792327472528432,-1.2718623831397735,-1.5498806092969246,-0.9515442725687461,-0.8178994973762213
TURK.002.1991,1991,delta,Central Asia,2008.0,-0.9041180397147015,-0.8737631208556189,-1.4378087957782404,-1.8517250771778297,-0.7494367060644773,-0.46177956336962905
