site_name,avulsion_year,p95_zscore,p95_mean,p95_std,p95_avulsion_window,global_mean,global_p95,av_type,site_area
B9.b,2002,-0.7034862287776975,664.9386206555554,127.15461511020173,575.4870999999999,292.86567040280374,723.1167619999999,intra-lobe,South America
B9.c,1994,-0.11106282413199238,664.9386206555554,127.15461511020173,650.8164699999999,292.86567040280374,723.1167619999999,intra-lobe,South America
BETSIBOKA.2004,2004,2.354598687272442,460.50290227777765,91.98368830023976,677.0875739999997,146.0750232430187,523.3546279999999,fan,Tropical Island
BS0115.1995,1995,-0.1427863676489278,104.54877192555553,31.284087893730963,100.08183064999989,45.35649147854206,116.83007199999996,delta,Central Asia
CA0067.1986,1986,-0.8879175002778171,430.0105416444443,126.09660425592753,318.04715999999996,228.2032315308411,459.2241239999998,delta,Central America
CA0194.2007,2007,-0.11517127197722683,356.74572603333326,74.60054826026584,348.15388599999994,141.87348911890092,396.86287099999987,delta,Central America
CA0318.1.2002,2002,-0.534334714662383,60.33761085555553,36.08406224876886,41.05664374999996,15.156285404663365,73.4780261999999,delta,Central America
CASP1.1991,1991,0.3091045346215783,249.90950024444436,67.55330937192217,270.79053449999986,115.83844400599999,283.579321,delta,Central Asia
CON.001.2013,2013,1.0054922921256528,158.10154435999996,23.47137648375999,181.70183249999994,92.0737546904673,175.90336799999974,delta,Africa
ECN0095.1999,1999,1.7080626521419846,124.10729195888887,26.02781518895683,168.5644309999999,72.49930220411214,135.25042899999994,delta,North America
FIHERENANA.2001,2001,-0.12339364756114123,123.87974334888885,50.194442512285,117.68606799999999,34.207914881252336,140.77786599999976,delta,Tropical Island
G1,2007,3.5916648346497206,508.1853296999999,95.9491811361091,852.8026294999993,293.78181116168224,529.2762979999998,fan,Tropical Island
G10,2016,-0.5022406621885328,446.9197763555555,82.1208375997104,405.6753525,290.98602442990654,489.760703,fan,Tropical Island
G11,2013,1.1047784017547246,244.89212479999995,39.823101293545726,288.8878269999999,141.27642448766355,262.0342529999999,fan,Tropical Island
G12,2009,1.0027100339198753,554.0235755333332,98.43813378509972,652.7284799999998,334.14607726355143,579.6855999999999,fan,Tropical Island
G13,2013,0.20359680096474733,623.1827032555555,136.16320154875459,650.9050955,352.90098540186915,689.378335,fan,Tropical Island
G14,2007,-0.3966067365906106,600.6406914111109,132.46805226443223,548.1029695,331.58999802429906,670.6359399999999,fan,Tropical Island
G15,2010,0.5878101080551248,362.7043117999999,63.941466274471225,400.28975199999996,218.63642659252335,406.2659859999998,fan,Tropical Island
G16,2015,-0.515981113041659,374.32484839999984,59.98281452116064,343.374849,228.50223291495328,417.60235199999937,fan,Tropical Island
G17,2013,-0.2088068322472099,490.7501258,72.78836203025179,475.5514185,252.0844078,529.5595099999998,delta,Tropical Island
G18,2015,-0.08273587332569962,425.56881175555554,69.217281758924,419.84205949999995,222.46720086355137,457.6087449999999,fan,Tropical Island
G19,2011,0.7516449903307909,532.9312803666666,86.32014044925586,597.8133815,372.8256066579439,557.7207149999999,fan,Tropical Island
G2,2010,0.39650333628149487,719.3444534111109,107.46176687562378,761.9534024999999,405.33571892897197,778.6581299999996,fan,Tropical Island
G20,2014,1.2956668741362067,580.6995065,103.57126988328999,714.8933699999998,393.28509769719625,618.6605899999998,intra-lobe,Tropical Island
G21,2016,-0.7515412360941175,441.3686311222221,87.2997328306357,375.7592819999999,293.94087133644865,499.86750599999993,fan,Tropical Island
G22,2013,0.08305880122306408,533.7879659444443,142.78931167937787,545.6478749999999,341.827254256056,601.2073899999999,intra-lobe,Tropical Island
G23,2014,-0.06376232194431984,556.023577122222,161.62691081453244,545.71787,346.98924125046733,652.3477899999996, fan,Tropical Island
G24,2014,-0.004911069547234464,557.8681299444444,152.87788886379275,557.1173359999999,351.02057764672895,639.6365439999998,fan,Tropical Island
G25.1,2016,-0.28474622622035634,362.04811807777776,60.71566007129001,344.75956299999996,195.30531432074767,399.649399,fan,Tropical Island
G25.2,2015,0.20327994208903566,333.04561987777765,54.81180783366274,344.18776099999997,186.6908527271028,370.92758199999986,fan,Tropical Island
G26,2013,1.9488914322582798,504.6103518333332,229.78665550791786,952.4395959999991,232.32449120747663,622.0847529999994,intra-lobe,Tropical Island
G3,2011,0.788600291459074,393.69313865555546,82.88110979963602,459.05320599999993,211.97732668635516,429.79327999999964,fan,Tropical Island
G4,2011,0.9119670134978537,415.03923732222216,88.24416507030503,495.51500499999986,223.53214562990655,453.37984299999965,fan,Tropical Island
G5,2015,-0.43815410222088025,399.97698612222206,67.19718809657424,370.53426249999995,252.0962113065421,452.34845499999994,fan,Tropical Island
G6,2014,1.0379851320692706,485.8821213777777,65.47854687160049,553.8478794999999,319.20639426168225,519.1605249999997,fan,Tropical Island
G7,2016,0.6123914593113358,406.1682244777777,61.8780102923634,444.0617895,276.0735350672897,437.39422799999994,fan,Tropical Island
G8,1999,0.8113627018778229,588.4164967444443,86.76051547924787,658.8107429999995,386.4547674990654,628.7200949999996,intra-lobe,Tropical Island
G9,2012,0.07533269073783089,529.1090777222223,88.27035398110728,535.7587209999999,356.39452858317753,561.7990699999999,fan,Tropical Island
H001,2008,1.53367667669538,468.9649319777776,94.92975523102348,614.5564834999996,151.9981226433271,539.9004249999998,fan,Asia
H002,2000,0.9716257701768405,910.8362570999996,148.9332800154761,1055.5436699999996,353.84655007102805,984.4663099999995,fan,Asia
H005,1998,2.3320979788207694,665.0963774222221,107.66635615573121,916.1848689999999,275.44051189345794,721.2220689999996,fan,Asia
H006,1997,-1.0993862574259305,883.8065723555552,131.42694969996924,739.31759,311.4277712149532,980.1166149999996,fan,Asia
H007,2010,1.2273114012262931,1060.035146011111,151.60407847835324,1246.1005599999996,376.5461284142056,1196.22795,fan,Asia
H008,2006,0.07651379493360956,1034.1328282777777,183.90790490044463,1048.20432,363.7812434818691,1165.3546599999997,fan,Asia
H009,1994,0.31078804178778296,917.7709650888888,140.42974324254328,961.41485,358.03385233831773,998.4547709999998,fan,Asia
H010,2006,-0.4887465596245231,686.1626615111109,98.93097978685975,637.8104854999999,281.5834934252337,736.0133399999999,fan,Asia
H011,2001,-0.5923418339029287,961.8283930111108,173.21378491042898,859.2266219999999,332.59090731831776,1073.10422,fan,Asia
H013,1990,0.8989866532705163,854.7392751111109,135.3978248131582,976.4601124999997,356.6133110485981,945.8230079999993,fan,Asia
H015,1992,-1.2837624371645382,408.4228285777777,92.33892085174358,289.88159049999996,131.29371925334578,466.04640599999965,fan,Asia
H016,2003,1.5677555858942218,404.68777985555556,89.59086027706918,545.1443514999995,129.27322421807477,456.999623,fan,Asia
H017,2002,0.1000748117848427,372.0352266666665,78.99337697810878,379.9404739999999,120.34149126859066,417.8991199999994,fan,Asia
H020,2011,-0.3264792733368908,440.9510016666666,83.65456369563843,413.63952049999995,133.2902927142056,501.75945299999995,fan,Asia
H021,2001,1.2074529885925942,427.157030111111,78.68472792438097,522.16514,129.97350098897198,486.15412199999975,fan,Asia
H022,2010,0.6048001512139424,562.1186512888887,143.46993306292495,648.8892884999999,152.36362589196258,663.0415999999999,fan,Asia
H023,2003,0.9095339501333544,307.04473356666665,63.64780052998068,364.9345689999998,100.08314540126356,358.6073179999998,fan,Asia
H024,1999,1.8100032606605265,436.4379247888889,95.85347605826794,609.9330289999996,126.93257733379438,496.7207629999999,fan,Asia
H025,2006,0.13632754496374028,498.21592836666656,124.70162679049722,515.2161949999996,135.6553064073645,598.0562849999998,fan,Asia
H026,2001,-0.4762954415972244,1034.1328282777777,183.90790490044463,946.5383315,363.7812434818691,1165.3546599999997,fan,Asia
H027,1992,0.9988997625186666,1060.035146011111,151.60407847835324,1211.4724239999994,376.5461284142056,1196.22795,fan,Asia
H028,2002,-0.8198723333102594,364.521676011111,79.2373024087971,299.5572039999999,112.89058667730279,393.3231879999995,fan,Asia
H029,2001,1.209833809054263,367.6457678444443,87.86733050438971,473.950635,102.57485146910281,437.0758819999996,fan,Asia
H030,2001,1.3095983596952452,433.15992698888886,80.60774872662233,538.7237025,131.13621964413085,494.123848,fan,Asia
H1,2011,0.5736593797794957,917.7709650888888,140.42974324254328,998.3298045,358.03385233831773,998.4547709999998,fan,Asia
H2,2013,-0.08053764989325848,854.7392751111109,135.3978248131582,843.8346525000001,356.6133110485981,945.8230079999993,fan,Asia
H3,2013,-1.2669028617478024,408.4228285777777,92.33892085174358,291.4383854999999,131.29371925334578,466.04640599999965,fan,Asia
H4,2013,0.41301676620517386,436.4379247888889,95.85347605826794,476.0270174999998,126.93257733379438,496.7207629999999,fan,Asia
H6,2015,-0.6752574892554063,543.7840174555554,102.2065709062447,474.76826499999993,235.05156749906544,603.8943749999997,fan,Asia
Indus.2010,2010,0.7189316347095274,103.08778200833329,69.21612165775969,152.84944149999998,22.117474976229907,132.248788,delta,Asia
JA.12.Eritrea,2006,-0.5028648289753951,49.097877634444416,42.258083902471874,27.8477735,18.506389669566357,54.63340279999989,delta,Africa
JA.18.PNG.1994.1994,1994,0.3772431445518152,600.6406914111109,132.46805226443223,650.6133559999995,331.58999802429906,670.6359399999999,fan,Tropical Island
JA.25.India.1990,1990,1.2418386924290965,482.0893659222222,91.17621778743417,595.315521,183.60798311831775,525.2682499999999,fan,Asia
JA.25.India.1996,1996,1.8549719343708773,482.0893659222222,91.17621778743417,651.2186909999994,183.60798311831775,525.2682499999999,fan,Asia
JA.26.Ethiopia.1988,1988,-0.32793186517023937,114.13560622444442,35.843794009900186,102.381284,40.83400580727178,135.81304699999995,fan,Africa
JA.26.Ethiopia.1992,1992,0.04436194101317295,114.13560622444442,35.843794009900186,115.72570649999993,40.83400580727178,135.81304699999995,fan,Africa
JA.26.Ethiopia.1998,1998,1.6338232849842949,114.13560622444442,35.843794009900186,172.69803149999993,40.83400580727178,135.81304699999995,fan,Africa
JA.26.Ethiopia.2002,2002,-0.6936846813029005,114.13560622444442,35.843794009900186,89.27131539999999,40.83400580727178,135.81304699999995,fan,Africa
JA.26.Ethiopia.2009,2009,0.05553906416842124,114.13560622444442,35.843794009900186,116.12633699999994,40.83400580727178,135.81304699999995,fan,Africa
JA.26.Ethiopia.2011,2011,1.2583364016403444,114.13560622444442,35.843794009900186,159.23915699999995,40.83400580727178,135.81304699999995,fan,Africa
JA.28.Eritrea.1997.1997,1997,0.5903378308139534,73.12680994222221,48.705805908005985,101.8796897499999,28.13622302457944,79.2265683,delta,Africa
JA.30.Eritrea.2007.2007,2007,-0.6275266975565373,51.776575539999975,36.12540355377877,29.10692034999999,20.69197964568598,55.458208499999955,delta,Africa
JA.34.Morocco.2001.2001,2001,0.8887778065192629,133.84563994555555,51.33491601587981,179.47097399999979,45.06514824605233,165.55302799999993,delta,Africa
JA.35.Madagascar.2000.2000,2000,3.3600144353867267,225.20842956888887,79.15766659511341,491.1793319999996,56.342859445717764,278.2028659999996,delta,Tropical Island
JA.36.Eritrea.2005.2005,2005,-0.5760562409070975,38.359917286666665,11.6849019395525,31.6287566,14.866498853294207,39.88917179999999,delta,Africa
JA.37.Somalia.1989.1989,1989,-0.18196399664765986,41.31623105155553,27.141925284916464,36.37737784999996,11.158200194289721,49.88069939999999,delta,Africa
JA.38.Madagascar.1994.1994,1994,0.7906340165862595,243.64025207111106,79.35651845564563,306.3822149999998,62.91518849899253,302.09214099999986,delta,Tropical Island
JA.4.Kosi.2008.2008,2008,1.5589354219234872,461.944926711111,91.97303606840859,605.3249504999997,147.61619133381305,511.0917079999999,fan,Asia
