site_name,site_lat,site_lon,reach_ID,y_pred,date,year,month
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,151.36395,2000-07-13,2000,7
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,501.25113,2000-07-29,2000,7
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,113.15444,2000-08-14,2000,8
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,52.76978,2000-08-30,2000,8
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,111.3096,2000-10-01,2000,10
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,266.25323,2001-04-27,2001,4
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,129.00851,2001-05-29,2001,5
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,304.00424,2001-06-30,2001,6
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,172.97278,2001-08-01,2001,8
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,125.181496,2001-08-17,2001,8
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,28.14928,2001-09-02,2001,9
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,34.882065,2001-09-18,2001,9
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,250.2287,2002-01-24,2002,1
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,117.093605,2003-07-22,2003,7
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,41.22411,2003-08-23,2003,8
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,7.2111607,2003-09-24,2003,9
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,210.28072,2004-04-03,2004,4
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,159.6867,2004-06-22,2004,6
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,141.95062,2004-07-24,2004,7
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,172.72179,2004-08-09,2004,8
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,52.193344,2004-09-26,2004,9
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,306.07858,2005-04-06,2005,4
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,186.56673,2005-05-24,2005,5
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,283.91428,2005-06-09,2005,6
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,252.61722,2005-07-11,2005,7
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,123.704575,2005-07-27,2005,7
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,165.17177,2005-08-12,2005,8
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,34.037086,2005-08-28,2005,8
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,15.538406,2005-09-13,2005,9
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,12.141761,2005-09-29,2005,9
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,149.19646,2006-05-11,2006,5
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,159.2253,2006-05-27,2006,5
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,111.94416,2006-06-28,2006,6
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,64.98652,2006-07-14,2006,7
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,22.174036,2006-08-31,2006,8
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,253.87973,2006-11-19,2006,11
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,65.35806,2007-04-12,2007,4
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,55.097576,2007-05-14,2007,5
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,115.94006,2007-06-15,2007,6
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,126.761826,2007-07-01,2007,7
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,100.24933,2007-07-17,2007,7
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,109.23187,2007-08-02,2007,8
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,134.68921,2007-08-18,2007,8
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,95.01817,2007-09-03,2007,9
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,29.539406,2007-09-19,2007,9
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,13.817296,2007-10-05,2007,10
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,44.18083,2008-05-16,2008,5
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,41.25729,2008-06-17,2008,6
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,32.916046,2008-07-03,2008,7
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,43.603657,2008-07-19,2008,7
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,19.605797,2008-08-20,2008,8
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,36.397865,2008-10-23,2008,10
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,112.612015,2009-05-03,2009,5
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,40.60248,2009-05-19,2009,5
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,63.85359,2009-06-04,2009,6
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,152.88681,2009-06-20,2009,6
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,118.718254,2009-07-22,2009,7
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,87.31978,2009-08-07,2009,8
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,177.6876,2009-08-23,2009,8
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,138.70564,2009-09-08,2009,9
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,152.53831,2009-10-10,2009,10
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,460.03943,2009-10-26,2009,10
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,93.32669,2010-04-20,2010,4
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,158.12633,2010-05-06,2010,5
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,133.61624,2010-05-22,2010,5
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,171.7215,2010-06-07,2010,6
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,59.769234,2010-07-09,2010,7
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,51.799015,2010-07-25,2010,7
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,6.0542827,2010-09-11,2010,9
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,9.762306,2010-09-27,2010,9
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,11.23675,2010-10-13,2010,10
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,283.38342,2010-12-16,2010,12
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,469.17978,2011-02-02,2011,2
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,176.73567,2011-04-23,2011,4
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,84.76437,2011-05-25,2011,5
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,135.33276,2011-07-12,2011,7
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,130.1591,2011-08-13,2011,8
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,72.29803,1999-07-03,1999,7
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,89.08357,1999-07-19,1999,7
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,95.33133,1999-08-04,1999,8
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,169.25708,1999-08-20,1999,8
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,9.471471,1999-09-05,1999,9
