site_name,avulsion_year,p95_zscore,p95_mean,mean_zscore,med_zscore,av_type,site_area
B1,1994,0.1354261224306126,1214.7841864583334,0.23747378419652207,0.06226957290705737,fan,South America
B1.a,1994,0.1354261224306126,1214.7841864583334,0.23747378419652207,0.06226957290705737,fan,South America
B1.b,1989,1.0874918985191804,1214.7841864583334,1.1568775648362266,1.3774297188490785,fan,South America
B1.c,1988,1.0874918985191804,1214.7841864583334,0.9028377068869997,0.8767457106235533,fan,South America
B1.d,1989,1.0874918985191804,1214.7841864583334,1.1568775648362275,1.3774297188490785,fan,South America
B10,1987,-0.43643336855572284,1280.1079406944448,-0.09775517213621741,0.08315871537410513,intra-lobe,South America
B10.av.b,2012,-0.28614099308601887,1280.1079406944448,-0.8658292712197245,-0.7051331627994676,intra-lobe,South America
B10.av.c,2012,-0.28614099308601887,1280.1079406944448,-0.8658292712197245,-0.7051331627994676,intra-lobe,South America
B10.p.a,2017,-0.12909759140777996,1280.1079406944448,-0.39693452281762526,0.21489268965696273,intra-lobe,South America
B10.p.b,2017,-0.12909759140777996,1280.1079406944448,-0.39693452281762526,0.21489268965696273,intra-lobe,South America
B11,2011,0.04192784823081003,194.11540788888888,-0.8619627566127855,-1.3518508863031962,intra-lobe,South America
B12,1987,-0.5322814486229119,255.97684472222227,-0.3760882260939555,0.4311047675161016,intra-lobe,South America
B12.av.a,2003,-1.1418595608092508,255.97684472222227,-1.3986989760024249,-1.17253013440957,intra-lobe,South America
B12.a ,1987,-0.5322814486229119,255.97684472222227,-0.3760882260939555,0.4311047675161016,intra-lobe,South America
B12.b,1990,0.23151336160744934,255.97684472222227,0.458027562686474,0.6367373786562749,intra-lobe,South America
B12.p.a,2016,-0.2233047968834568,255.97684472222227,-0.3047348850989683,-0.29285171199264504,intra-lobe,South America
B13,2000,-0.46905282084758204,85.97102867361112,-0.8363388279197908,-0.9833073312233874,intra-lobe,South America
B14,1990,0.2858656154272554,295.4944228333333,0.16830234690664148,0.43842659669225287,intra-lobe,South America
B15,1991,1.8740378454811624,1783.6981750000004,1.5972660876842741,1.2054715526810122,fan,South America
B2,2005,-0.7906278238335414,17.110720486111113,-1.0718292437791028,-0.8042847309560002,intra-lobe,South America
B3,2011,1.3711247311120427,91.56121947916667,-0.1731966447426897,-1.1159765235881005,fan,South America
B4,1994,-0.7976063704619868,187.49618016666668,-0.899928447247949,-0.6290128457453013,fan,South America
B6,2007,0.44622491255164526,756.0694009722222,0.06557209391206616,-0.35844062515270264,fan,South America
B7,1994,-0.1735591888961696,131.08786875694446,-0.2308361045513939,-0.18787036687551548,intra-lobe,South America
B8,1998,0.649465947499195,127.40078105555557,0.8518357974531946,0.29049772968437687,intra-lobe,South America
B9,2015,2.7659777733146598,154.2506292777778,1.3061982408750108,0.789441312504294,intra-lobe,South America
B9.a,2015,2.7659777733146598,154.2506292777778,1.3061982408750108,0.789441312504294,intra-lobe,South America
B9.b,2002,-1.1198811995063205,154.2506292777778,-1.118567372096599,-0.7471427287581478,intra-lobe,South America
B9.c,1994,0.0712146265290213,154.2506292777778,0.14506289095561684,0.016076535434331476,intra-lobe,South America
BETSIBOKA.2004,2004,1.1679930557839817,2317.673349166668,1.173132707038261,-0.23135815762549028,fan,Tropical Island
BS0115.1995,1995,0.30791010969784305,1101.2712465277777,0.3124336303688556,0.3237104617534278,delta,Central Asia
CA0067.1986,1986,-0.7243079189441676,1018.5385345416665,-0.5524762489958889,-0.10406664887165659,delta,Central America
CA0194.2007,2007,0.05245481883526631,172.42987175,0.3693782351184157,1.091374698709568,delta,Central America
CA0318.1.2002,2002,-0.2707757192360443,0.1284179687500001,0.8928419414919578,,delta,Central America
CASP1.1991,1991,-0.09852695369729138,352.0322483194444,-0.7547173547802977,-1.6586034593670607,delta,Central Asia
CON.001.2013,2013,-0.5525060089034678,0.15683593750000008,-0.5953416098917668,-0.16666666666666669,delta,Africa
ECN0095.1999,1999,0.7479432653920847,36.70225694166667,1.383980956527667,1.261198903711557,delta,North America
FIHERENANA.2001,2001,1.586630111656044,118.78051238888894,1.9440016307399186,1.2622048879921566,delta,Tropical Island
G1,2015,0.4527331173779253,544.3303183472223,-0.04110270331850839,0.1330503309592269,fan,Tropical Island
G10,2017,1.6049130341187545,41.17450085972223,2.021780793952666,1.9270633588444648,fan,Tropical Island
G11,2008,0.5240892636640211,2297.152448472222,0.37851899493268254,0.4904578035900473,fan,Tropical Island
G12,2010,0.19017526246318167,496.7737742361112,0.49852486423963854,0.4587049012214769,fan,Tropical Island
G13,2008,0.8602833080364269,131.97883054861114,0.7903500702108638,0.7099936035659687,fan,Tropical Island
G14,2004,-0.6180402384591748,66.41583122361111,-0.691391041660871,-0.6467964862049763,fan,Tropical Island
G15,2003,0.4734249023654443,132.7920576875,-0.22028053646977336,-0.4946180998156544,fan,Tropical Island
G16,1994,-0.2771273847714816,99.30421006944445,-0.13058813548478931,-0.06861529010629944,fan,Tropical Island
G17,2016,0.031215717236706998,133.5058164791667,-0.08720555455216919,0.1298522824562191,delta,Tropical Island
G18,1995,-0.3763412290656333,122.69487854861111,-0.16479864847932885,-0.009843022747687776,fan,Tropical Island
G19,2015,-0.8526965440979822,293.7618268472222,-0.8569415310764081,-0.7562339629574377,fan,Tropical Island
G2,2013,0.7165440140747601,1885.7026675,0.6713196237299802,0.5103825940970381,fan,Tropical Island
G20,2008,0.8589301750236438,358.9573685972222,0.6366530538942567,0.5134505468360094,intra-lobe,Tropical Island
G21,1995,-0.03202596364380901,1569.488368611111,0.08804943294866696,0.1970469237857192,fan,Tropical Island
G22,1998,0.3282562908290085,662.8200185833334,-0.3780627313524199,-0.9404376823068878,intra-lobe,Tropical Island
G23,2005,-0.8105451453357,196.61137163888887,-0.7988973057668122,-0.6161679697903888, fan,Tropical Island
G24,2013,0.631809928917321,202.6069223888889,0.6047032739704157,0.42264134984612295,fan,Tropical Island
G25.1,1999,0.6676200510780635,525.0700642916668,0.04429675647737786,-0.47372933322510014,fan,Tropical Island
G25.2,2007,0.5447896650231888,525.0700642916668,0.4819922237934415,0.3290903155837775,fan,Tropical Island
G26,1998,1.238076094009315,106.26039490972222,0.3795312497060164,0.5309025703028135,intra-lobe,Tropical Island
G3,1999,-0.5180651068019623,631.1895956944445,-0.45742022314630304,-0.4703005015882567,fan,Tropical Island
G4,1998,0.16430872411836683,631.1895956944445,-1.0082351909538243,-1.107602329862005,fan,Tropical Island
G5,1997,-0.5222875641980531,311.9698787916667,-0.5708240434276282,-0.33451492419308265,fan,Tropical Island
G6,2005,-0.14163326063730863,319.9699328055556,-0.40333845797556445,-0.4016377347997796,fan,Tropical Island
G7,2013,1.1602782936065232,291.9643659583333,0.925167347026063,0.9788525646466921,fan,Tropical Island
G8,2017,1.896990959834373,901.4980895000001,1.8457564039211583,1.640596551173155,intra-lobe,Tropical Island
G9,2013,1.07032787441377,242.4311523472222,1.3779414295967973,1.4804263771949648,fan,Tropical Island
H001,2008,0.8928667241743269,4983.618169722224,0.6894550961720021,0.0035536314716116094,fan,Asia
H002,2000,0.5388465374329473,11184.415301388888,0.3485627431860565,0.1767416674909661,fan,Asia
H005,1998,0.7282757579969069,3622.2359855555555,0.4170942904330143,-0.4559316332074049,fan,Asia
H006,1997,0.0888253452248889,426.7045578055556,0.10763849529778807,0.5510487332136431,fan,Asia
H007,2010,1.1922506404889264,366.5107207916667,1.1725266418759566,-0.10363795508235357,fan,Asia
H008,2006,-0.772091789054644,846.3456593888891,-0.8144823721366896,-0.5123793443909807,fan,Asia
H009,1994,-0.2789212031027921,4490.144664305555,-0.27946417346535757,0.038973804976200864,fan,Asia
H010,2006,-0.6100677068497433,721.1065012638888,-0.6955674731164497,-1.0133405483911808,fan,Asia
H011,2001,-0.6568305245347066,886.8923932222225,-0.5597080921886249,-0.47548503295284483,fan,Asia
H013,1990,0.4210900806904742,239.22971998611118,0.8834339892604581,1.3381035443703428,fan,Asia
H015,1992,-1.093518668070556,3.3009440104166665,-1.2728721690668594,-0.5457215735659484,fan,Asia
H016,2003,-0.3344319636186517,14.977300344444448,-0.12456373202051929,0.9484923555923508,fan,Asia
H017,2002,-0.4845499415556338,12.083441840277779,-0.29099911629479913,1.0033694509366744,fan,Asia
H020,2011,-0.05786003835317538,7.016764322916668,-0.1603675054593998,0.025816933059782346,fan,Asia
H021,2001,-0.041284745096876505,14.058973538194445,0.15958947510483557,1.6402134532529242,fan,Asia
H022,2010,2.3968663031149964,4.329806857638889,1.2547816867029906,-1.1701737884395675,fan,Asia
H023,2003,-0.2691123651586801,59.3409069888889,-0.07746772127128038,0.7716421704562729,fan,Asia
H024,1999,-0.19630649298858546,2.610134548611112,-0.16472831386996337,-0.10107839002283514,fan,Asia
H025,2006,-0.7798889405241004,7.987163625694445,-0.8285615335908517,-1.1884814128137906,fan,Asia
H026,2001,-0.5570069883572156,846.3456593888891,-0.4348882422491008,-0.035255670328149157,fan,Asia
H027,1992,-0.7147961618705684,366.5107207916667,-0.8831380174076139,-0.811820602764272,fan,Asia
H028,2002,-0.5980826437309811,167.88884556944447,-0.38612607883647326,0.7909516981109653,fan,Asia
H029,2001,0.23915378645761648,222.2379003527778,0.022949755139886483,0.7011903858172951,fan,Asia
H030,2001,0.3126226753977047,3.1744574652777784,0.5342456386053895,1.812992118813583,fan,Asia
H1,2011,0.3233472457026594,4490.144664305555,0.4440670347911602,0.5592585742605327,fan,Asia
H2,2013,0.09322003083359032,239.22971998611118,-0.03891087288230906,-0.43414427385028925,fan,Asia
H3,2013,0.07639214448913792,3.3009440104166665,0.0933346577096372,0.7553364826177701,fan,Asia
H4,2013,0.9354096551584807,2.610134548611112,0.4977727612236378,-0.41749769792040586,fan,Asia
H6,2015,0.11938074879565583,565.8367599861111,-0.35908912089867173,-1.0979145782258453,fan,Asia
Indus.2010,2010,0.9642669095009027,13096.159731666667,0.09176010904180056,-0.709863971060912,delta,Asia
JA.12.Eritrea,2006,0.8522203175606969,9.901736111111113,-0.051096502019711366,-0.36181714279460525,delta,Africa
JA.18.PNG.1994.1994,1994,-8.003667182743772e-05,66.41583122361111,-0.49866326665185295,-0.7329541608822252,fan,Tropical Island
JA.25.India.1990,1990,0.11379677642974148,45.922178833333334,0.49086136748912984,0.58032056856207,fan,Asia
JA.25.India.1996,1996,1.4887411939471973,45.922178833333334,1.5517708547872682,0.28676870672291305,fan,Asia
JA.26.Ethiopia.1988,1988,0.2967878871067597,15.108723969444448,0.3173537603026346,0.1841287297743557,fan,Africa
JA.26.Ethiopia.1992,1992,-0.5080506720859459,15.108723969444448,-0.5049232895363314,-0.28267650063950384,fan,Africa
JA.26.Ethiopia.1998,1998,3.4472598203031213,15.108723969444448,2.9704929954651433,1.2111002366848467,fan,Africa
JA.26.Ethiopia.2002,2002,-0.42369231982045374,15.108723969444448,-0.44618342584814685,-0.37603754672227574,fan,Africa
JA.26.Ethiopia.2009,2009,-0.7898322245385343,15.108723969444448,-0.7830542030660748,-0.46939859280504764,fan,Africa
JA.26.Ethiopia.2011,2011,0.09223209137320662,15.108723969444448,0.09231160342295379,-0.42271806976366166,fan,Africa
JA.28.Eritrea.1997.1997,1997,0.17246535135841262,13.044140627777779,0.5486612616860111,0.6772953839948159,delta,Africa
JA.30.Eritrea.2007.2007,2007,0.7562644099513683,1.1727539062500003,0.11407403400464337,-0.33045819335498483,delta,Africa
