Avulsion Name,source,geometry,num_icesat_measurements,num_fabdem_measurements,method_used,dist_mtn_front_to_avulsion_m,total_transport_distance_m,normalized_distance,geomorphology,sar1,sar2,sar3,sar_mean,sar1_distance_m,sar2_distance_m,sar3_distance_m,sm1,sm2,sm3,are1_m,fpe1_m,wse1_m,are2_m,fpe2_m,wse2_m,are3_m,fpe3_m,wse3_m,width_m,discharge_min_cms,discharge_mean_cms,discharge_max_cms,se_1,se_2,se_3,se_std,sm_mean,gamma,spr,gamma_error_upper,gamma_error_lower,corrected_discharge,xgb_depth,har1_m,har2_m,har3_m,a,b,a1,b1,a2,b2,a3,b3,a_over_b,beta,beta_sem,lambda,ab_flag,beta_uncertainty,sar_mean_error,sm_mean_error,log_gamma,log_sar_mean_SE,log_sm_mean_SE,log_gamma_error,yerr_upper_relative,yerr_lower_relative,se_max1,se_max2,se_max3
B14,valenza et. al. 2020,POINT (-66.5308 -14.677),2,1,1,168842,3422722,0.049329744,Alluvial Plain,0.002,0.00209,0.0034,0.002466667,1435.4857,2057.416268,2058.823529,0.00108,0.00043,0.00022,206.2709714,203.4,204.15,206.1,201.8,203.5,186.6,179.6,184.3,110,13.4,66,162,1.193285977,1.868274496,1.147654333,0.559645023,0.000576667,4.277456647,85.54290867,2.669342626,1.643634271,780.9844575,3.7467728,2.8709714,4.3,7,2.3403238,3.7467728,2.1209714,3.7467728,2.6,3.7467728,2.3,3.7467728,0.624623895,1.260726878,0.107703735,5.392704566,FALSE,0.376232659,0.000452413,0.000258865,1.453358592,0.18341079,0.448898921,0.484922426,0.624049019,1.643634271,0.766251806,1.147654333,1.868274496
B2,valenza et. al. 2020,POINT (-64.1351 -17.4241),0,3,3,13062,3639791,0.003588668,Alluvial Plain,0.005,0.00126,0.00798,0.005993333,740,2976.190476,641.60401,0.00459,0.00324,0.0056,289.7,286,284.7,288,284.25,283,290.9,285.78,285.9,60,2.826,11.906,28.769,0.603866226,0.61202658,0.835620291,0.13151089,0.004476667,1.338793745,0.801638421,0.577290223,0.403360475,119.4617845,1.1271849,3.7,3.75,5.12,5,1.1271849,5,1.1271849,5,1.1271849,5,1.1271849,4.435829599,0.683837699,0.025309283,0.915517634,TRUE,0.124417608,0.001944028,0.000683626,0.291769019,0.324365054,0.152708701,0.358514485,0.431201763,0.403360475,0.603866226,0.61202658,0.835620291
B4,valenza et. al. 2020,POINT (-64.855 -17.216),0,3,2,7101,3255674,0.002181115,Fan,0.0029,0.00228,0.00127,0.002356667,1206.896552,846.4912281,2755.905512,0.00444,0.00343,0.00423,251.9,248.4,249.4,254.2,252.27,251.7,257,253.5,254.5,200,4.6,30.6,75,0.577689243,0.772,1.4,0.362575969,0.004033333,0.584297521,0.540772314,0.140523077,0.11327946,338.3017517,1.7716706,3.5,1.93,3.5,2.5,1.7716707,2.5,1.7716706,2.5,1.7716706,2.5,1.7716706,1.411097447,1.190666667,0.069777778,0.695703581,TRUE,0.367547237,0.000475009,0.000307698,-0.537344973,0.201559592,0.076288647,0.215513867,0.240499185,0.11327946,1.4,0.772,1.4
B6,valenza et. al. 2020,POINT (-65.3985 -16.9729),0,3,3,3395,3549053,0.000956593,Fan,0.0052,0.0046,0.004,0.0048,1923.076923,1652.173913,3110,0.00352,0.0033,0.00332,258,248,255.7,262.3,254.7,261,253.44,241,250.8,1400,22.937,150.4,372.27,4.166666664,5.428571423,4.540145983,0.648227093,0.00338,1.420118343,0.28301568,0.110759296,0.102745839,1928.37745,0.1,10,7.6,12.44,2.08,0.1,2.3,0.1,1.3,0.1,2.64,0.1,20.79999969,4.71179469,0.124751362,6.691306069,TRUE,1.703439058,0.00034641,7.02E-05,0.350740208,0.072168784,0.020780382,0.075100983,0.077993004,0.102745839,4.166666664,5.428571423,4.540145983
B9,valenza et. al. 2020,POINT (-65.8384 -16.3225),0,3,3,57327,3491013,0.016421308,Alluvial Plain,0.0015,0.00289,0.00335,0.002116667,4920,3439.446367,2298.507463,0.00046,0.00084,0.00092,231.6,224.22,224,228.09,218.15,220.49,229,221.3,221.4,159,10,64,152,0.699332194,0.941918971,0.729655541,0.132176406,0.00074,2.86036036,22.19095676,1.099455574,0.794188213,728.7543833,2.9529247,7.38,9.94,7.7,7.6,2.9529247,7.6,2.9529247,7.6,2.9529247,7.6,2.9529247,2.573719515,0.790302235,0.025437361,2.260549186,TRUE,0.114755031,0.000556088,0.000141892,1.050947617,0.262718515,0.191745916,0.325249926,0.384376594,0.794188213,0.699332194,0.941918971,0.729655541
BETSIBOKA_2004,brooke et. al. 2022,"POINT (46.93067, -16.79922)",0,3,2,3739,1773360,0.002108427,Fan,0.00268,0.00162,0.00283,0.00273,1305.970149,1987.654321,1060.070671,0.00123,0.0015,0.0015,44,40.5,41,43.72,40.5,40.72,43.5,40.5,40.5,1000,49.144,331.6,1027.6,1.166666667,1.073333333,1,0.083533094,0.00141,1.936170213,1.495338298,0.320997681,0.275347771,5810.870604,2.4348886,3.5,3.22,3,3,2.4348886,3,2.4348886,3,2.4348886,3,2.4348886,1.232089221,1.08,0.016075951,2.09106383,TRUE,0.114828255,0.000380803,9.00E-05,0.660711905,0.139488368,0.063829787,0.153398978,0.165790011,0.275347771,1.166666667,1.073333333,1
BS0115_1995,brooke et. al. 2022,POINT (49.3618479181036 39.3320648834311),3,0,1,394459,398745,0.989251276,Delta,0.0015,0.00083,0.0047,0.002566667,866.6666667,1879.518072,312.7659574,0.00044,0.00014,2.00E-05,-35.3,-36.6,-37.37,-35.6,-37.16,-37.7,-35.4,-36.87,-37.45,130,203,703,1890,0.115764376,0.138917252,0.130902795,0.011757684,0.0002,12.83333333,4946.25638,15.12709945,6.943065263,11265.06731,11.229707,1.3,1.56,1.47,2.073333333,11.229707,2.07,11.229707,2.1,11.229707,2.05,11.229707,0.184629339,0.128528141,0.002262767,1.649444475,FALSE,0.024123139,0.001194101,0.0001249,2.552045953,0.46523425,0.6244998,0.778744443,1.178735022,6.943065263,0.115764376,0.138917252,0.130902795
CA0067_1986,brooke et. al. 2022,POINT (-88.3129189699068 15.6817041034841),1,2,1,144786,156089,0.927586185,Delta,0.003,0.005,0.002,0.002666667,963.6666667,400,1360,0.00017,0.00048,0.00048,6.091,3.2,2.091,3.5,1.5,0.1,6.2,3.48,2.2,97,129.62,309.492,622.725,0.254480685,0.176050284,0.239428386,0.041622677,0.000376667,7.079646018,2462.61819,3.800243862,2.472854195,3372.306821,11.360391,2.891,2,2.72,3.8,11.360391,4,11.360391,3.4,11.360391,4,11.360391,0.334495539,0.223319785,0.008010288,1.581025026,FALSE,0.040994339,0.000881917,0.000103333,1.957223909,0.330718914,0.274336283,0.429692211,0.536784446,2.472854195,0.254480685,0.176050284,0.239428386
CA0194_2007,brooke et. al. 2022,POINT (-91.7773631931101 14.2030613238809),0,3,1,67618,69590,0.971662595,Delta,0.00175,0.00244,0.0044,0.002633333,857.1428571,1434.42623,886.3636364,0.00183,0.0024,0.00178,6,4.5,5,7,3.5,6,8.3,4.4,7.3,75,13.93,72.2,154,0.297698448,0.694629712,0.297698448,0.255191099,0.002003333,1.314475874,485.022926,0.490919431,0.357429615,739.1772747,5.0386558,1.5,3.5,3.9,1,5.0386558,1,5.0386558,1,5.0386558,1,5.0386558,0.198465632,0.588781375,0.04911155,0.773938913,FALSE,0.197925417,0.000793732,0.000198858,0.273438011,0.301417364,0.099263486,0.317341562,0.373471618,0.357429615,0.297698448,0.694629712,0.774015965
CA0318-1_2002,brooke et. al. 2022,POINT (-111.414580827171 26.2184921970802),0,3,3,14514,18893,0.768221034,Delta,0.0094,0.015,0.025,0.0146,117.0212766,66.66666667,40,0.00245,0.00268,0.00273,-30.2,-31.3,-34.4,-29.9,-30.9,-34.3,-30.2,-31.2,-34.09,140,0.001,0.424,1.315,0.365853658,0.548780488,0.543902439,0.018083695,0.00262,5.572519084,293.2141351,2.057461366,1.502656895,4.183153433,0.1,1.1,1,1,4.163333333,0.1,4.2,0.1,4.4,0.1,3.89,0.1,41.63333271,0.242887581,0.003480209,1.353495678,TRUE,0.116999909,0.00456265,8.62E-05,1.717847211,0.312510295,0.032907168,0.314238072,0.36921567,1.502656895,0.255813953,0.222222222,0.250626566
CASP1_1991,brooke et. al. 2022,POINT (49.9288182362538 37.4460645708543),0,3,1,91366,95066,0.961079671,Delta,0.0011,0.0016,0.0018,0.001333333,636.3636364,687.5,255.5555556,0.00055,0.00055,0.00047,-25.1,-25.8,-28.1,-25.6,-26.7,-28.6,-25.38,-25.84,-28,155,74.9,313.8,1338.7,0.070631624,0.110992552,0.046415067,0.03262335,0.000523333,2.547770701,1836.45797,0.454739355,0.385867685,7744.973612,9.910575,0.7,1.1,0.46,2.873333333,9.910575,3,9.910575,3,9.910575,2.62,9.910575,0.289925999,0.076013081,0.006278367,0.193663901,FALSE,0.03646036,0.000208167,2.67E-05,0.935218742,0.15612495,0.050955414,0.164229882,0.178485197,0.385867685,0.070631624,0.110992552,0.046415067
CON_001_2013,brooke et. al. 2022,POINT (30.4596184962936 1.25727501036791),0,3,1,100204,102186,0.980603997,Delta,0.0135,0.00105,0.00718,0.011393333,50.37037037,971.4285714,44.56824513,0.001109,0.00021,0.00018,624.18,623.5,622.18,624.22,623.2,622.22,623.69,623.37,621.69,97,197,236,288,0.095877972,0.143816958,0.045119046,0.04935567,0.000499667,22.80186791,1962.516338,22.51016397,11.3275385,1459.150222,7.0923486,0.68,1.02,0.32,2,7.0923486,2,7.0923486,2,7.0923486,2,7.0923486,0.281994036,0.094937992,0.009498503,2.164763557,FALSE,0.053347074,0.003594145,0.00030479,3.126842459,0.315460351,0.609986112,0.686730143,0.987207015,11.3275385,0.095877972,0.143816958,0.045119046
CON_002,brooke et. al. 2022,POINT (29.4538505637586 -0.640707948709366),0,3,1,101849,105921,0.961556254,Delta,0.0015,0.0017,0.002,0.001666667,466.6666667,882.3529412,500,0.00018,0.00013,0.000306,917.6,916.9,916.1,918,916.5,916.5,918,917,916.5,117.5,26,40,57,0.252426677,0.540914308,0.360609539,0.14573861,0.000205333,8.116883117,4682.903834,2.510623972,1.917518489,251.0871898,2.7730825,0.7,1.5,1,1.5,2.7730825,1.5,2.7730825,1.5,2.7730825,1.5,2.7730825,0.540914308,0.384650175,0.028047409,3.122160511,FALSE,0.16640003,0.000145297,5.24E-05,2.093946228,0.087177979,0.255009681,0.26949942,0.309308873,1.917518489,0.252426677,0.540914308,0.360609539
