OBJECTID,Join_Count,TARGET_FID,site_name,avulsion_year,z_p95_q,zlog_p95_q,z_mean_q,zlog_mean_q,z_flood_dur,zlog_flood_dur,av_type,site_area,site_lat,site_lon,country,continent,identity,climate
46,1,46,B7,1994,-0.126766198,-0.045950453,-0.196675432,-0.140638685,-0.183482806,0.390733524,intra-lobe,South America,-16.7048,-65.65,Bolivia,South America,2b1472a7-3382-b2a9-6914-fb6b93bb6460,Am Tropical-Monsoon
47,1,47,B8,1998,0.721807026,0.841499176,1.077781697,1.127621181,1.194667522,1.001336795,intra-lobe,South America,-16.6125,-65.7438,Bolivia,South America,2b1472a7-3382-b2a9-6914-fb6b93bb6460,Am Tropical-Monsoon
48,1,48,B9,2015,3.752463439,3.149300417,2.268919252,2.08577979,2.116939709,1.192457055,intra-lobe,South America,-16.3225,-65.8384,Bolivia,South America,2b1472a7-3382-b2a9-6914-fb6b93bb6460,Am Tropical-Monsoon
49,1,49,BETSIBOKA.2004,2004,1.284184593,0.87891376,1.507780416,1.253415221,1.114265013,0.714151711,fan,Madagascar,-16.79922,46.93067,Madagascar,Africa,cef3b643-c515-7d48-b37f-7c199562ab9a,Aw Tropical-Savanna
50,1,50,BS0115.1995,1995,0.498601838,0.590963222,0.825549326,0.846331412,1.119293293,0.819059842,delta,Central Asia,39.332065,49.361848,Azerbaijan,Asia,2a7bd039-a19f-e59e-e9e0-5e12d1b43f8c,BSk Arid-Steppe-Cold
51,1,51,CA0067.1986,1986,-0.619884876,-0.380883921,-0.479637861,-0.339121724,-0.956793258,-0.80775691,delta,Central America,15.681704,-88.31292,Guatemala,North America,f3b0afaf-0827-b57c-933c-b3ecb051dd81,Af Tropical-Rainforest
52,1,52,CA0194.2007,2007,0.708082202,0.548257796,0.563873371,0.503641016,0.415044197,0.670529445,delta,Central America,14.203061,-91.77736,Guatemala,North America,25bfe1e0-e212-8600-7057-316c47ae4bd7,Aw Tropical-Savanna
53,1,53,CA0318.1.2002,2002,2.931611264,2.931611264,2.37050008,2.37050008,1.130619016,1.037966707,delta,Central America,26.218492,-111.4146,Mexico,North America,c20025f6-e87b-bd1e-16b2-400520f68cbd,BWh Arid-Desert-Hot
54,1,54,CASP1.1991,1991,0.120142072,0.395342367,-0.586585362,-0.462359677,0.285328566,0.533668956,delta,Central Asia,37.446065,49.928818,Iran,Asia,2db513eb-3b8c-a1c8-bf59-59f7f4da75ae,Csa Temperate-Dry_Summer-Hot_Summer
55,1,55,CON.001.2013,2013,-0.582699628,-0.582699628,-0.48113615,-0.48113615,-0.574241765,-0.260736294,delta,Africa,1.257275,30.459619,Dem. Rep. Congo,Africa,7d76f600-46c5-be66-e717-09981c7390e5,Aw Tropical-Savanna
56,1,56,ECN0095.1999,1999,0.900174533,0.534321313,2.078857472,1.116625713,2.316430281,1.063737105,delta,North America,53.761827,-60.11699,Canada,North America,8a842dc2-b6f9-f211-585d-bbbac8fef595,Dfc Cold-Withouth_dry_season-Cold_Summer
