site_name,avulsion_year,z_p95_ssc,zlog_p95_ssc,z_mean_ssc,zlog_mean_ssc,av_type,site_lat,site_lon,site_area
KEN.001.1989,1989,0.5640450095898369,0.6044032913220224,0.5651378387826701,0.6817288377081739,delta,4.5685778,36.032135,Africa
MAHAJAMBA.2004,2004,1.4594141107866947,1.3386280441947955,1.5346469271053655,1.378711433072592,fan,-16.4197,47.397163,Tropical Island
MALAWI1.2014,2014,0.9074132330507758,0.8180134861053273,2.4597436593057833,1.7786175091140364,fan,-13.88624,34.576099,Africa
MANAMBOLO.2004,2004,1.00785690879272,0.7918083073389948,0.993459355967421,1.1134873375448504,delta,-19.1855,44.428446,Tropical Island
PI0019.1989,1989,0.7379168479934413,1.0874983470917228,0.6121319811654478,0.9608419086025425,delta,1.885402,98.575117,Tropical Island
PI0209.2006,2006,0.7149231656954282,0.8070389105772791,0.7839502836618953,0.9368248056251431,delta,-6.798919,109.05695,Tropical Island
PI0801.1.2007,2007,-0.5920230741375486,-0.4163954364407629,-0.7458897986422488,-0.7158763704579895,delta,12.744353,120.81316,Tropical Island
PNG.010.2011,2011,-0.21289113988446953,0.0801161750290863,-0.047024349844368096,0.17176854647134954,fan,-6.470433,146.55624,Tropical Island
RUS.002.1988,1988,-0.3746343838547434,-0.17881922521618668,-0.09339813502486913,0.06632176893601735,delta,50.461424,93.107421,Asia
RUS.002.1996,1996,0.4741463265754728,0.5253960805740956,1.3295700629935419,1.1466890110173509,delta,50.481243,93.077127,Asia
SA0505.1999,1999,2.268862430742079,1.4878946209921597,1.0039617315185692,0.9415294147269672,delta,-3.543468,-80.47866,South America
SAMBAO.2004,2004,1.5306061916110154,1.2587024468637285,3.2486259432192086,2.2440399737982952,delta,-16.59976,44.621719,Tropical Island
SUMA2.2005,2005,0.5776484750352185,0.749704338541385,1.1062808512709719,1.1669446221951068,delta,5.2637288,96.854628,Tropical Island
TKMN.001.2008,2008,0.2502438954973465,0.40084049326025134,0.2963738375860555,0.42703891539521854,fan,42.070578,57.652256,Central Asia
TURK.002.1991,1991,1.039679184157673,1.0891646141168847,1.361388412951216,1.3089362941527491,delta,40.143437,28.556474,Central Asia
UZB.001.1994,1994,2.701657618179501,1.9182675508771716,1.7066226269906772,1.290384953273501,delta,39.300571,64.547069,Central Asia
V11,2017,0.834250817180472,1.0049218727173512,0.665195388742786,0.8411640145633885,intra-lobe,7.1703,-71.345,South America
V13,2000,-0.06741610625482178,0.2622865859883951,-0.06932795359768294,0.2403476662343774,fan,7.5596,-72.0799,South America
V4,2009,-0.18784599882591135,0.21768510430853436,0.031550742163371066,0.33822012784933164,fan,3.504,-73.8759,South America
V5.2,1998,2.8134086834291825,1.9620966978219274,2.571683028351713,1.8552535692400445,fan,6.1934,-71.778,South America
V6,2012,0.5634259405015105,0.8643391427561852,0.47828432449801184,0.6423160522869082,fan,6.1934,-71.778,South America
V7,2010,1.528610564085915,1.282274635291273,0.5984599944725469,0.7978000837889343,intra-lobe,6.73,-71.2565,South America
V9,2011,1.866185686437623,1.241701488447987,2.2449667471005115,1.6189230331454956,fan,7.03724,-72.04633,South America
