site_name,avulsion_year,av_type,site_area,year,z_p95_q,zlog_p95_q,z_mean_q,zlog_mean_q,z_flood_dur,zlog_flood_dur
R41,1989,retrogradational,Tropical Island,2005.0,-0.1783970828435257,-0.1012843677438008,-0.189889622409363,-0.0936346710951337,-0.37809353082531333,0.015493057086921419
R41,1989,retrogradational,Tropical Island,2006.0,-0.7308185323106002,-0.6922153873342809,-0.6655630176687515,-0.6247450386568608,-0.5997770342408065,-0.20525187777610127
R41,1989,retrogradational,Tropical Island,2007.0,-0.16304623500929355,-0.08564437638918479,-0.006580062808918276,0.09607875546163246,-0.37809353082531333,0.015493057086921419
R41,1989,retrogradational,Tropical Island,2008.0,0.0796521988445304,0.15650276803565794,0.49870918603030734,0.5826817101119409,-0.02339992536052431,0.29751381921141923
R41,1989,retrogradational,Tropical Island,2009.0,-0.11154689910885153,-0.03346247410266389,0.3932216185786682,0.4851557245656175,-0.24508342877601744,0.12971185947215497
R41,1989,retrogradational,Tropical Island,2010.0,0.9067846991701121,0.916982326130328,0.7265694027620566,0.786708867650788,1.0850175917169413,0.8893025162560475
R41,1989,retrogradational,Tropical Island,2011.0,0.9729935157595725,0.9739931465929635,0.5692956255598335,0.6468331575464631,0.7303239862521523,0.7315438506420662
R41,1989,retrogradational,Tropical Island,2012.0,0.5039449528518016,0.5582825627443689,0.5996019763280418,0.6741113242394621,1.2180276937662373,0.9431776426328168
R41,1989,retrogradational,Tropical Island,2013.0,1.6406471131785452,1.521267167500012,0.8727981292112529,0.9131444887547487,1.1736909930831387,0.9255051052272093
R41,1989,retrogradational,Tropical Island,2014.0,0.7835129793784475,0.8094131668643847,0.5622251516970561,0.640446414520875,0.8633340883014482,0.7933309928677649
R41,1989,retrogradational,Tropical Island,2015.0,-0.298988889428589,-0.22554506485245,-1.0302457580275772,-1.0766856992610583,-0.5554403335577078,-0.15749220485872442
R41,1989,retrogradational,Tropical Island,2016.0,1.54459618930348,1.445458766788554,1.1515930058940569,1.1452030484694495,1.5283845985479276,1.0596566329574664
R41,1989,retrogradational,Tropical Island,2017.0,1.1180824004839633,1.0971153265545108,1.2246951341161556,1.2042085893267138,2.459455312892999,1.3504239937855846
R41,1989,retrogradational,Tropical Island,2018.0,0.028473649048938274,0.10622445848136204,0.471926300582567,0.5581104600470669,0.4643037821535606,0.5967199544479757
R41,1989,retrogradational,Tropical Island,2019.0,-0.5126754055891872,-0.4520668402146384,3.472013871678301,2.731003534677891,-1.5308477485858776,-2.946012036271397
R42,2004,retrogradational,Tropical Island,1984.0,-1.2895246290345992,-1.4542854844387303,-1.332766159146538,-1.4802172856812121,-0.9998638021329862,-1.574649321662828
R42,2004,retrogradational,Tropical Island,1985.0,-0.11848104034143823,-0.048776458426311654,-0.0014111562425081316,0.07530268828497082,-0.2691601585618365,0.11734897597021819
