site_name,avulsion_year,z_p95_q,zlog_p95_q,z_mean_q,zlog_mean_q,z_flood_dur,zlog_flood_dur,av_type,site_area
B13,2000,-0.348767676,-0.298199157,-0.493145584,-0.444261126,-0.404315495,0.20860418279037962,intra-lobe,South America
B14,1990,0.4842638608040196,0.5961311344915118,0.5268195456641072,0.6779125049654499,0.46718083488574963,0.7623003852318941,intra-lobe,South America
B15,1991,2.367795519828373,1.814339484532795,2.3669726320321525,1.9516913750764584,2.5574149319818282,1.296569798438252,fan,South America
B2,2005,-0.712336462,-0.669319149,-0.950243416,-0.966958288,-0.899880963,-1.218999298,intra-lobe,South America
B3,2011,1.792165419294692,1.6347456304803964,0.9217615969053603,0.9574632020525323,1.5812580606314541,1.1857965783969833,fan,South America
B4,1994,-0.555248558,-0.503819814,-0.487499709,-0.424463176,-0.843043161,-1.026830211,fan,South America
B6,2007,0.7399002720944204,0.8621668953572782,0.5110189768853607,0.5841150473595713,1.6467832277076548,1.1380652943123581,fan,South America
B7,1994,-0.126766198,-0.045950453,-0.196675432,-0.140638685,-0.183482806,0.39073352377910925,intra-lobe,South America
B8,1998,0.7218070264275916,0.8414991758786087,1.0777816970103598,1.1276211806444834,1.194667522,1.0013367952233407,intra-lobe,South America
B9,2015,3.7524634388026024,3.1493004168984045,2.2689192519457797,2.085779790331546,2.1169397087785153,1.1924570553577478,intra-lobe,South America
BETSIBOKA.2004,2004,1.2841845926938282,0.8789137602657255,1.5077804163622122,1.2534152206570155,1.1142650131189697,0.7141517109376185,fan,Madagascar 
BS0115.1995,1995,0.498601838,0.5909632224170054,0.8255493258220018,0.8463314124752166,1.119293293138489,0.8190598417746833,delta,Central Asia
CA0067.1986,1986,-0.619884876,-0.380883921,-0.479637861,-0.339121724,-0.956793258,-0.80775691,delta,Central America
CA0194.2007,2007,0.7080822020747483,0.5482577958332154,0.5638733707927278,0.5036410162218965,0.4150441974819521,0.6705294448247864,delta,Central America
CA0318.1.2002,2002,2.931611264118958,,2.370500079893812,,1.1306190155277636,1.0379667065336353,delta,Central America
CASP1.1991,1991,0.1201420715572906,0.3953423668847367,-0.586585362,-0.462359677,0.2853285662084084,0.5336689555937443,delta,Central Asia
CON.001.2013,2013,-0.582699628,,-0.48113615,,-0.574241765,-0.260736294,delta,Africa
ECN0095.1999,1999,0.900174533,0.5343213128585655,2.0788574716903097,1.116625713224931,2.316430281320729,1.0637371054113451,delta,North America
FIHERENANA.2001,2001,1.652323009394151,1.0550067736286894,2.374369727,1.3445335619621543,2.2866236765787313,1.0668442140822847,delta,Pacific Islands
G1,2015,1.0274635626460555,1.0004255914832072,0.13802902070358988,0.27858830768558457,1.087140741870858,0.9733268032842236,fan,Pacific Islands
