site_name,site_area,avulsion_start_date,site_lat,site_lon,av_type,source,country,brooke_width_m,width_m,width_m_note
V10,South America,2017,7.0725,-72.0089,fan,valenza et al 2020,Venezuela/Colombia,,89,average channel width at avulsion site
V11,South America,2002,7.1703,-71.345,intra-lobe,valenza et al 2020,Venezuela/Colombia,110,110,average channel width at avulsion site
V12.1,South America,2016,7.4959,-72.035,fan,valenza et al 2020,Venezuela/Colombia,,150,average channel width at avulsion site
V12.2,South America,2017,7.4959,-72.035,fan,valenza et al 2020,Venezuela/Colombia,,150,average channel width at avulsion site
V12.3,South America,2014,7.4959,-72.035,fan,valenza et al 2020,Venezuela/Colombia,,150,average channel width at avulsion site
V13,South America,2017,7.5596,-72.0799,fan,valenza et al 2020,Venezuela/Colombia,220,670,average channel width at avulsion site
V14,South America,2003,8.4146,-69.9831,intra-lobe,valenza et al 2020,Venezuela/Colombia,,90,average channel width at avulsion site
V4,South America,2017,3.504,-73.8759,fan,valenza et al 2020,Venezuela/Colombia,,432,average channel width at avulsion site
V5.1,South America,2016,3.7426,-73.5485,fan,valenza et al 2020,Venezuela/Colombia,,147,average channel width at avulsion site
V5.2,South America,2016,6.1934,-71.778,fan,valenza et al 2020,Venezuela/Colombia,,138,average channel width at avulsion site
V6,South America,2011,6.1934,-71.778,fan,valenza et al 2020,Venezuela/Colombia,,595,average channel width at avulsion site
V7,South America,2011,6.73,-71.2565,intra-lobe,valenza et al 2020,Venezuela/Colombia,57,57,average channel width at avulsion site
V8,South America,2014,6.94976,-71.98327,fan,valenza et al 2020,Venezuela/Colombia,,349,average channel width at avulsion site
V9,South America,2014,7.03724,-72.04633,fan,valenza et al 2020,Venezuela/Colombia,677,677,average channel width at avulsion site
VENEZ1.1982,South America,1982,9.3333859,-71.75709,delta,brooke et al 2022,Venezuela/Colombia,155,,
VENEZ2.1986,South America,1986,9.8023066,-71.07847,delta,brooke et al 2022,Venezuela/Colombia,,,
VENEZ2.2009,South America,2009,9.8005938,-71.08504,delta,brooke et al 2022,Venezuela/Colombia,,,
