site_name,site_area,avulsion_start_date,site_lat,site_lon,av_type,source,country,brooke_width_m,width_m,width_m_note
R17.2,South America,2006,-13.5048,-68.5889,retrogradational,edmonds et al 2022,Bolivia,,40,average channel width upstream of avulsion site
R18,South America,1984,-14.478,-67.33,retrogradational,edmonds et al 2022,Bolivia,,40,average channel width upstream of avulsion site
R19.2,South America,1986,-14.4841,-67.296,retrogradational,edmonds et al 2022,Bolivia,,14,average channel width upstream of avulsion site
R19.3,South America,2012,-14.4832,-67.2948,retrogradational,edmonds et al 2022,Bolivia,,40,average channel width upstream of avulsion site
R2.1,Tropical Island,1988,-9.5642,149.2851,retrogradational,edmonds et al 2022,Peru,,11,average channel width upstream of avulsion site
R2.2,Tropical Island,2002,-9.5672,149.2848,retrogradational,edmonds et al 2022,Bolivia,,7,average channel width upstream of avulsion site
R2.3,Tropical Island,2014,-9.5713,149.2851,retrogradational,edmonds et al 2022,Bolivia,,7,average channel width upstream of avulsion site
R20.1,South America,1984,-14.5463,-67.2865,retrogradational,edmonds et al 2022,Bolivia,,23,average channel width upstream of avulsion site
R20.2,South America,1990,-14.5405,-67.2794,retrogradational,edmonds et al 2022,Bolivia,,23,average channel width upstream of avulsion site
R20.3,South America,1996,-14.4881,-67.2485,retrogradational,edmonds et al 2022,Bolivia,,14,average channel width upstream of avulsion site
R20.4,South America,2015,-14.5248,-67.2645,retrogradational,edmonds et al 2022,Bolivia,,9,average channel width upstream of avulsion site
R21.1,South America,1984,-14.5358,-67.2532,retrogradational,edmonds et al 2022,Bolivia,,9,average channel width upstream of avulsion site
R21.2,South America,2012,-14.5386,-67.2033,retrogradational,edmonds et al 2022,Bolivia,,21,average channel width upstream of avulsion site
R22.1,South America,1984,-14.5625,-67.1967,retrogradational,edmonds et al 2022,Bolivia,,21,average channel width upstream of avulsion site
R22.2,South America,2004,-14.5792,-67.1861,retrogradational,edmonds et al 2022,Bolivia,,21,average channel width upstream of avulsion site
R23.1,South America,1984,-14.641,-67.082,retrogradational,edmonds et al 2022,Bolivia,,21,average channel width upstream of avulsion site
R23.2,South America,1984,-14.6737,-67.0843,retrogradational,edmonds et al 2022,Bolivia,,25,average channel width upstream of avulsion site
R23.3,South America,2014,-14.6436,-67.0744,retrogradational,edmonds et al 2022,Bolivia,,25,average channel width upstream of avulsion site
R23.4,South America,2016,-14.68,-67.08,retrogradational,edmonds et al 2022,Bolivia,,15,average channel width upstream of avulsion site
R24.1,South America,1984,-14.7559,-67.0448,retrogradational,edmonds et al 2022,Bolivia,,15,average channel width upstream of avulsion site
R24.2,South America,2003,-14.743,-67.0582,retrogradational,edmonds et al 2022,Bolivia,,16,average channel width upstream of avulsion site
R24.3,South America,2012,-14.688,-66.993,retrogradational,edmonds et al 2022,Bolivia,,16,average channel width upstream of avulsion site
R24.4,South America,2014,-14.727,-67.061,retrogradational,edmonds et al 2022,Bolivia,,16,average channel width upstream of avulsion site
R25,South America,1984,-14.9322,-67.001,retrogradational,edmonds et al 2022,Bolivia,,16,average channel width upstream of avulsion site
R26,South America,2009,-15.088,-66.7618,retrogradational,edmonds et al 2022,Bolivia,,26,average channel width upstream of avulsion site
R27,South America,2006,-15.1573,-66.5493,retrogradational,edmonds et al 2022,Bolivia,,26,average channel width upstream of avulsion site
R28.1,South America,1993,-15.1312,-66.3277,retrogradational,edmonds et al 2022,Bolivia,,26,average channel width upstream of avulsion site
R28.2,South America,1993,-15.1312,-66.3277,retrogradational,edmonds et al 2022,Bolivia,,26,average channel width upstream of avulsion site
R3.1,Tropical Island,1988,-9.4622,149.0964,retrogradational,edmonds et al 2022,Bolivia,,16,average channel width upstream of avulsion site
R3.2,Tropical Island,2002,-9.432,149.0949,retrogradational,edmonds et al 2022,Bolivia,,15,average channel width upstream of avulsion site
R30.1,South America,1984,-15.4287,-66.3279,retrogradational,edmonds et al 2022,Bolivia,,10,average channel width upstream of avulsion site
R30.2,South America,2011,-15.4016,-66.332,retrogradational,edmonds et al 2022,Bolivia,,19,average channel width upstream of avulsion site
R31,South America,1984,-15.3568,-66.2579,retrogradational,edmonds et al 2022,Bolivia,,19,average channel width upstream of avulsion site
R32.1,South America,1984,-15.6519,-66.1216,retrogradational,edmonds et al 2022,Bolivia,,8,average channel width upstream of avulsion site
R32.2,South America,2012,-15.6506,-66.105,retrogradational,edmonds et al 2022,Bolivia,,8,average channel width upstream of avulsion site
R33,South America,1986,-15.8612,-66.0646,retrogradational,edmonds et al 2022,Bolivia,,11,average channel width upstream of avulsion site
R34.1,South America,2002,-16.2666,-65.8723,retrogradational,edmonds et al 2022,Bolivia,,21,average channel width upstream of avulsion site
R34.2,South America,2012,-16.2996,-65.8757,retrogradational,edmonds et al 2022,Bolivia,,21,average channel width upstream of avulsion site
